date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1965-01-09,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,SCOT,SCOTLAND,FT,16,8
1964-11-29,"STADIONUL DINAMO, BUCHAREST",FRANCE TOUR IN ITALY/ROMANIA/SOUTH AFRICA 1964,ROM,ROMANIA,FRA,FRANCE,FT,6,9
1964-11-15,"STADIONUL DINAMO, BUCHAREST",WEST GERMANY TOUR 1964,ROM,ROMANIA,,WEST GERMANY,FT,19,3
1964-10-31,", HURTH",BELGIUM TOUR IN GERMANY 1964,,WEST GERMANY,BEL,BELGIUM,FT,11,3
1964-10-24,"MACDONALD PARK, VICTORIA",FIJI TOUR IN CANADA/FRANCE/WALES 1964,CAN,CANADA,FIJI,FIJI,FT,3,13
1964-10-17,"STADE YVES-DU-MANOIR, PARIS",FIJI TOUR IN CANADA/FRANCE/WALES 1964,FRA,FRANCE,FIJI,FIJI,FT,21,3
1964-09-26,"NATIONAL STADIUM, CARDIFF",FIJI TOUR IN CANADA/FRANCE/WALES 1964,WALES,WALES,FIJI,FIJI,FT,28,22
1964-08-29,"ATHLETIC PARK, AOMORI",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,5,20
1964-08-22,"JADE STADIUM (LANCASTER PARK), CHRISTCHURCH",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,18,3
1964-08-22,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,ARG,ARGENTINA,CHI,CHILE,FT,30,8
1964-08-22,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,BRA,BRAZIL,URUG,URUGUAY,FT,15,8
1964-08-19,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,BRA,BRAZIL,ARG,ARGENTINA,FT,8,30
1964-08-18,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,CHI,CHILE,URUG,URUGUAY,FT,8,15
1964-08-16,"LINDANGENS IP, MALMO",POLAND TOUR IN SWEDEN 1964,POL,POLAND,DEN,DENMARK,FT,25,6
1964-08-16,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,BRA,BRAZIL,CHI,CHILE,FT,16,16
1964-08-16,"LINDANGENS IP, MALMO",EAST GERMANY TOUR IN SWEDEN 1964,SWED,SWEDEN,EG,EAST GERMANY,FT,0,28
1964-08-15,"CARISBROOK, DUNEDIN",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,14,9
1964-08-15,"CLUBE ATLETICO, SAN PABLO",SOUTH AMERICAN CHAMPIONSHIP,ARG,ARGENTINA,URUG,URUGUAY,FT,25,6
1964-08-15,"LINDANGENS IP, MALMO",POLAND TOUR IN SWEDEN 1964,SWED,SWEDEN,POL,POLAND,FT,0,12
1964-08-15,"LINDANGENS IP, MALMO",EAST GERMANY TOUR IN SWEDEN 1964,DEN,DENMARK,EG,EAST GERMANY,FT,13,15
1964-08-13,"LINDANGENS IP, MALMO",DENMARK TOUR IN SWEDEN 1964,SWED,SWEDEN,DEN,DENMARK,FT,14,3
1964-07-25,"P.A.M.BRINK STADIUM, SPRINGS",FRANCE TOUR IN ITALY/ROMANIA/SOUTH AFRICA 1964,SA,SOUTH AFRICA,FRA,FRANCE,FT,6,8
1964-07-25,"ANZ NATIONAL STADIUM (BUCKHURST PK), SUVA",NEW ZEALAND MAORI TOUR IN FIJI 1964,FIJI,FIJI,MAORI,NEW ZEALAND MAORI,FT,9,26
1964-07-02,"LINDANGENS IP, MALMO",EAST GERMANY TOUR IN SWEDEN 1964,POL,POLAND,EG,EAST GERMANY,FT,22,3
1964-05-24,", GORLITZ",PEACE CUP,EG,EAST GERMANY,ROM,ROMANIA,FT,6,28
1964-05-23,"JONSSON KINGS PARK, DURBAN",WALES TOUR IN SOUTH AFRICA 1964,SA,SOUTH AFRICA,WALES,WALES,FT,24,3
1964-05-20,", BAUZEN",PEACE CUP,ROM,ROMANIA,CZE,CZECH REPUBLIC,FT,14,3
1964-05-12,"RFUEA GROUND, NAIROBI",WALES XV TOUR IN KENYA 1964,KENYA,KENYA,WALES,WALES,FT,8,26
