date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
2022-11-25,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,SA,SOUTH AFRICA,FT,13,27
2022-11-25,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,AUS,AUSTRALIA,FT,34,39
2022-11-19,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,AUS,AUSTRALIA,FT,13,10
2022-11-19,"STADE TOULOUSE, TOULOUSE",AUTUMN NATIONS SERIES,FRA,FRANCE,JPN,JAPAN,FT,35,17
2022-11-18,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,NZL,NEW ZEALAND,FT,25,25
2022-11-18,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,ARG,ARGENTINA,FT,52,29
2022-11-18,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,GEORG,GEORGIA,FT,12,13
2022-11-18,"MARASSI (LUIGI FERRARIS), GENOVA",AUTUMN NATIONS SERIES,ITALY,ITALY,SA,SOUTH AFRICA,FT,21,63
2022-11-18,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,PORT,PORTUGAL,FT,16,16
2022-11-18,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,SAMOA,SAMOA,FT,0,22
2022-11-18,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,TONGA,TONGA,URUG,URUGUAY,FT,43,19
2022-11-18,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",INTERNATIONAL TEST MATCH,CAN,CANADA,NAMIB,NAMIBIA,FT,37,43
2022-11-17,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,KENYA,KENYA,HK,HONG KONG,FT,18,22
2022-11-12,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,NZL,NEW ZEALAND,FT,23,31
2022-11-12,"ORANGE VELODROME, MARSEILLE",AUTUMN NATIONS SERIES,FRA,FRANCE,SA,SOUTH AFRICA,FT,30,26
2022-11-12,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,URUG,URUGUAY,FT,16,21
2022-11-11,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,JPN,JAPAN,FT,52,13
2022-11-11,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,FIJI,FIJI,FT,35,17
2022-11-11,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,ARG,ARGENTINA,FT,20,13
2022-11-11,"STADIO ARTEMIO FRANCHI, FIRENZE",AUTUMN NATIONS SERIES,ITALY,ITALY,AUS,AUSTRALIA,FT,28,27
2022-11-11,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,HK,HONG KONG,FT,49,7
2022-11-11,"DINAMO ARENA, TBILISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,SAMOA,SAMOA,FT,19,20
2022-11-11,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,TONGA,TONGA,CHI,CHILE,FT,39,10
2022-11-11,"UNIVERSITARIA COMPLUTENSE, MADRID",INTERNATIONAL TEST MATCH,SPAIN,SPAIN,NAMIB,NAMIBIA,FT,34,15
2022-11-11,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",INTERNATIONAL TEST MATCH,NETH,NETHERLANDS,CAN,CANADA,FT,25,37
2022-11-11,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,PORT,PORTUGAL,KENYA,KENYA,FT,85,0
2022-11-05,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,ARG,ARGENTINA,FT,29,30
2022-11-05,"STADE DE FRANCE, SAINT-DENIS",AUTUMN NATIONS SERIES,FRA,FRANCE,AUS,AUSTRALIA,FT,30,29
2022-11-05,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,KENYA,KENYA,FT,68,14
2022-11-05,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,PORT,PORTUGAL,HK,HONG KONG,FT,42,14
2022-11-05,"DINAMO ARENA, TBILISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,URUG,URUGUAY,FT,34,18
2022-11-04,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,FIJI,FIJI,FT,28,12
2022-11-04,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,SA,SOUTH AFRICA,FT,19,16
2022-11-04,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,NZL,NEW ZEALAND,FT,23,55
2022-11-04,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,CHI,CHILE,FT,30,23
2022-11-04,"STADIO PLEBISCITO, PADOVA",AUTUMN NATIONS SERIES,ITALY,ITALY,SAMOA,SAMOA,FT,49,17
2022-11-04,"ESTADIO CIUDAD DE MALAGA, MALAGA",INTERNATIONAL TEST MATCH,SPAIN,SPAIN,TONGA,TONGA,FT,6,40
2022-11-04,"GAMLA STADION, MALMO",FIRA CHAMPIONSHIP D1,SWED,SWEDEN,SWITZ,SWITZERLAND,FT,12,69
2022-10-28,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,AUS,AUSTRALIA,FT,15,16
2022-10-28,NATIONAL KASUMIGAOKA STADIUM,INTERNATIONAL TEST MATCH,JPN,JAPAN,NZL,NEW ZEALAND,FT,31,38
2022-10-28,OLYMPIASTADION,FIRA CHAMPIONSHIP D1,SWED,SWEDEN,CRO,CROATIA,FT,37,17
2022-10-14,"STADE DE MYLLYPURON NURMIKENTTA, HELSINKI",FIRA CHAMPIONSHIP D3,FIN,FINLAND,DEN,DENMARK,FT,31,6
2022-09-30,"RK SPEED, COPENHAGEN",FIRA CHAMPIONSHIP D3,DEN,DENMARK,AND,ANDORRA,FT,25,10
2022-09-24,"HOLLYWOODBETS KINGS PARK, DURBAN",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,ARG,ARGENTINA,FT,38,21
2022-09-24,"EDEN PARK, AUCKLAND",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,40,14
2022-09-23,"HOLLYWOODBETS KINGS PARK, DURBAN",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,ARG,ARGENTINA,FT,38,21
2022-09-23,"EDEN PARK, AUCKLAND",THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,40,14
2022-09-17,"ESTADIO LIBERTADORES DE AMERICA, BUENOS AIRES",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,SA,SOUTH AFRICA,FT,20,36
2022-09-16,"JOSE AMALFITANI (VELEZ SARSFIELD), BUENOS AIRES",THE RUGBY CHAMPIONSHIP,ARG,ARGENTINA,SA,SOUTH AFRICA,FT,20,36
2022-09-15,"MARVEL STADIUM, MELBOURNE",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,37,39
2022-09-14,"MARVEL STADIUM, MANCHESTER",THE RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,37,39
2022-09-03,"ALLIANZ STADIUM, SYDNEY",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,SA,SOUTH AFRICA,FT,8,24
2022-09-03,"FMG STADIUM WAIKATO, HAMILTON",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,53,3
2022-09-02,"ALLIANZ STADIUM, SYDNEY",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,24,8
2022-09-02,"FMG (WAIKATO) STADIUM, HAMILTON(NZ)",THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,53,3
2022-08-27,"ADELAIDE OVAL, ADELAIDE",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,SA,SOUTH AFRICA,FT,25,17
2022-08-27,"ORANGETHEORY STADIUM, CHRISTCHURCH",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,18,25
2022-08-26,"ADELAIDE OVAL, ADELAIDE",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,17,25
2022-08-26,ORANGETHEORY STADIUM,THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,18,25
2022-08-19,"ESTADIO GERMAN BECKER, TEMUCO",INTERNATIONAL TEST MATCH,CHI,CHILE,BRA,BRAZIL,FT,28,9
2022-08-17,"OLD GRANGONIANS CLUB, SANTIAGO",INTERNATIONAL TEST MATCH,CHI,CHILE,BRA,BRAZIL,FT,36,27
2022-08-13,"EMIRATES AIRLINES PARK, JOHANNESBURG",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,23,35
2022-08-13,"ESTADIO BICENTENARIO, SAN JUAN",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,48,17
2022-08-12,"EMIRATES AIRLINES PARK, JOHANNESBURG",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,23,35
2022-08-12,"ESTADIO DEL BICENTENARIO, SAN JUAN",THE RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,48,17
2022-08-06,"MBOMBELA STADIUM, NELSPRUIT",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,26,10
2022-08-06,"ESTADIO MALVINAS ARGENTINAS, MENDOZA",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,26,41
2022-08-05,"MBOMBELA STADIUM, NELSPRUIT",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,26,10
2022-08-05,"ESTADIO MALVINAS ARGENTINAS, MENDOZA",THE RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,26,41
2022-07-22,"SUNSHINE COAST (STOCKLAND PARK) STADIUM, KAWANA WATERS, CALOUNDRA,QLD",RUGBY WORLD CUP QUALIFIER,TONGA,TONGA,HK,HONG KONG,FT,44,22
2022-07-16,"ESTADIO CHARRUA, MONTEVIDEO",INTERNATIONAL TEST MATCH,URUG,URUGUAY,ROM,ROMANIA,FT,26,20
2022-07-15,"CRICKET GROUND, SYDNEY",INTERNATIONAL TEST MATCH,AUS,AUSTRALIA,ENG,ENGLAND,FT,17,21
2022-07-15,ESTADIO UNICO MADRE DE CIUDADES,INTERNATIONAL TEST MATCH,ARG,ARGENTINA,SCOT,SCOTLAND,FT,34,31
2022-07-15,SKY STADIUM,INTERNATIONAL TEST MATCH,NZL,NEW ZEALAND,IRE,IRELAND,FT,22,32
2022-07-15,"DHL STADIUM (GREEN POINT), CAPE TOWN",INTERNATIONAL TEST MATCH,SA,SOUTH AFRICA,WALES,WALES,FT,30,14
2022-07-15,"INFINITY PARK, GLENDALE,CO",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,CHI,CHILE,FT,29,31
2022-07-15,"CHURCHILL PARK, LAUTOKA",IRB PACIFIC NATIONS CUP,FIJI,FIJI,SAMOA,SAMOA,FT,20,23
2022-07-15,"KUTAISI STADIUM, KUTAISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,PORT,PORTUGAL,FT,23,14
2022-07-10,"ADJARABET RUGBY ARENA, BATUMI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,ITALY,ITALY,FT,28,19
2022-07-09,"ESTADIO CHARRUA, MONTEVIDEO",INTERNATIONAL TEST MATCH,URUG,URUGUAY,ROM,ROMANIA,FT,22,30
2022-07-09,"TD PLACE (LANSDOWNE) STADIUM, OTTAWA",INTERNATIONAL TEST MATCH,CAN,CANADA,SPAIN,SPAIN,FT,34,57
2022-07-08,"SUNCORP STADIUM, BRISBANE",INTERNATIONAL TEST MATCH,AUS,AUSTRALIA,ENG,ENGLAND,FT,17,25
2022-07-08,"PADRE ERNESTO MARTEARENA, SALTA",INTERNATIONAL TEST MATCH,ARG,ARGENTINA,SCOT,SCOTLAND,FT,6,29
2022-07-08,"FORSYTH BARR STADIUM, DUNEDIN",INTERNATIONAL TEST MATCH,NZL,NEW ZEALAND,IRE,IRELAND,FT,12,23
2022-07-08,"TOYOTA STADIUM, BLOEMFONTEIN",INTERNATIONAL TEST MATCH,SA,SOUTH AFRICA,WALES,WALES,FT,12,13
2022-07-08,NATIONAL KASUMIGAOKA STADIUM,INTERNATIONAL TEST MATCH,JPN,JAPAN,FRA,FRANCE,FT,15,20
2022-07-08,"ESTADIO NACIONAL DO JAMOR, LISBON",INTERNATIONAL TEST MATCH,PORT,PORTUGAL,ARG,ARGENTINA,FT,35,52
2022-07-08,"ESTADIO SANTA LAURA - UNIVERSIDAD SEK, SANTIAGO",RUGBY WORLD CUP QUALIFIER,CHI,CHILE,USA,UNITED STATES OF AMERICA,FT,21,22
2022-07-08,"CHURCHILL PARK, LAUTOKA",IRB PACIFIC NATIONS CUP,SAMOA,SAMOA,TONGA,TONGA,FT,34,18
2022-07-08,"NAMDONG ASIAD FIELD, INCHEON",ASIA RUGBY CHAMPIONSHIP - TOP 3,KOREA,KOREA,HK,HONG KONG,FT,21,23
2022-07-02,"KUTAISI STADIUM, KUTAISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,ARG,ARGENTINA,FT,24,30
2022-07-01,"OPTUS STADIUM, PERTH (WA)",INTERNATIONAL TEST MATCH,AUS,AUSTRALIA,ENG,ENGLAND,FT,30,28
2022-07-01,"ESTADIO 23 DE AGOSTO, JUJUY",INTERNATIONAL TEST MATCH,ARG,ARGENTINA,SCOT,SCOTLAND,FT,26,18
2022-07-01,"EDEN PARK, AUCKLAND",INTERNATIONAL TEST MATCH,NZL,NEW ZEALAND,IRE,IRELAND,FT,42,19
2022-07-01,"LOFTUS VERSFELD, PRETORIA",INTERNATIONAL TEST MATCH,SA,SOUTH AFRICA,WALES,WALES,FT,32,29
2022-07-01,"TOYOTA STADIUM, BLOEMFONTEIN",INTERNATIONAL TEST MATCH,JPN,JAPAN,FRA,FRANCE,FT,23,42
2022-07-01,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,ITALY,ITALY,FT,13,45
2022-07-01,"HFC BANK STADIUM (BUCKHURST PK), SUVA",IRB PACIFIC NATIONS CUP,FIJI,FIJI,TONGA,TONGA,FT,36,0
2022-07-01,"WANDERERS GROUNDS, HALIFAX,NS",INTERNATIONAL TEST MATCH,CAN,CANADA,BEL,BELGIUM,FT,45,0
2022-06-24,"ESTADIO DO RESTELO, LISBON",INTERNATIONAL TEST MATCH,PORT,PORTUGAL,ITALY,ITALY,FT,31,38
2022-06-24,"MIKUNI WORLD STADIUM, FUKUOKA",INTERNATIONAL TEST MATCH,JPN,JAPAN,URUG,URUGUAY,FT,43,7
2022-06-17,"CHICHIBUNOMIYA, TOKYO",INTERNATIONAL TEST MATCH,JPN,JAPAN,URUG,URUGUAY,FT,34,15
2022-05-13,OLYMPIASTADION,FIRA CHAMPIONSHIP D2,SWED,SWEDEN,CZE,CZECH REPUBLIC,FT,28,18
2022-05-06,"ATLETIKSTADION, ODENSE",FIRA CHAMPIONSHIP D2,DEN,DENMARK,MOLD,MOLDOVA,FT,19,27
2022-05-06,"BUDAPESTI ROGBISTADION (KINCSEM PARK), BUDAPEST",FIRA CHAMPIONSHIP D2,HUNG,HUNGARY,SWED,SWEDEN,FT,25,29
2022-04-22,"BALDONES STADIONS, BALDONES",FIRA CHAMPIONSHIP D2,LAT,LATVIA,SWED,SWEDEN,FT,25,46
2022-04-08,"STADION NARODOW, GDYNIA",FIRA CHAMPIONSHIP D1,POL,POLAND,LITH,LITHUANIA,FT,43,10
2022-03-25,"CENTRINIAME STADIONE (SAVIVALDYBES), SIAULIAI",FIRA CHAMPIONSHIP D1,LITH,LITHUANIA,BEL,BELGIUM,FT,17,29
2022-03-19,"STADE DE FRANCE, SAINT-DENIS",SIX NATIONS,FRA,FRANCE,ENG,ENGLAND,FT,25,13
2022-03-19,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,SCOT,SCOTLAND,FT,26,5
2022-03-19,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,ITALY,ITALY,FT,21,22
2022-03-19,"DINAMO ARENA, TBILISI",SIX NATIONS B,GEORG,GEORGIA,SPAIN,SPAIN,FT,49,15
2022-03-18,"STADION AM MARTINSEE, HEUSENSTAMM",FIRA CHAMPIONSHIP D1,GERM,GERMANY,SWITZ,SWITZERLAND,FT,34,25
2022-03-18,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",SIX NATIONS B,NETH,NETHERLANDS,ROM,ROMANIA,FT,12,38
2022-03-18,"STADE DU NELSON MANDELA, NEDER-OVER-HEEMBEEK",FIRA CHAMPIONSHIP D1,BEL,BELGIUM,POL,POLAND,FT,41,11
2022-03-12,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,IRE,IRELAND,FT,15,32
2022-03-12,"STADIO OLIMPICO, ROME",SIX NATIONS,ITALY,ITALY,SCOT,SCOTLAND,FT,22,33
2022-03-12,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,PORT,PORTUGAL,FT,33,28
2022-03-11,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,FRA,FRANCE,FT,9,13
2022-03-11,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,GEORG,GEORGIA,FT,23,26
2022-03-11,"CENTRE SPORTIF DES CHERPINES, GENEVA",FIRA CHAMPIONSHIP D1,SWITZ,SWITZERLAND,BEL,BELGIUM,FT,22,18
2022-02-27,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,ITALY,ITALY,FT,57,6
2022-02-26,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,WALES,WALES,FT,23,19
2022-02-26,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,FRA,FRANCE,FT,17,36
2022-02-26,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,ROM,ROMANIA,FT,38,21
2022-02-25,"COMPLEXO DESPORTIVO MUNICIPAL, CALDAS DA RAINHA",SIX NATIONS B,PORT,PORTUGAL,NETH,NETHERLANDS,FT,59,3
2022-02-18,"FRITZ GRUNEBAUM SPORTPARK, HEIDELBURG",FIRA CHAMPIONSHIP D1,GERM,GERMANY,BEL,BELGIUM,FT,26,33
2022-02-13,"STADIO OLIMPICO, ROME",SIX NATIONS,ITALY,ITALY,ENG,ENGLAND,FT,0,33
2022-02-12,"PRINCIPALITY STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,SCOT,SCOTLAND,FT,20,17
2022-02-12,"STADE DE FRANCE, SAINT-DENIS",SIX NATIONS,FRA,FRANCE,IRE,IRELAND,FT,30,24
2022-02-11,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,PORT,PORTUGAL,FT,37,27
2022-02-11,"METREVELI (YUG) STADIUM, SOCHI",SIX NATIONS B,RUSS,RUSSIA,SPAIN,SPAIN,FT,37,41
2022-02-11,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",SIX NATIONS B,NETH,NETHERLANDS,GEORG,GEORGIA,FT,10,72
2022-02-06,"STADE DE FRANCE, SAINT-DENIS",SIX NATIONS,FRA,FRANCE,ITALY,ITALY,FT,37,10
2022-02-05,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,ENG,ENGLAND,FT,20,17
2022-02-05,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,WALES,WALES,FT,29,7
2022-02-05,"AVCHALA STADIUM, TBILISI",SIX NATIONS B,GEORG,GEORGIA,PORT,PORTUGAL,FT,25,25
2022-02-04,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,RUSS,RUSSIA,FT,34,25
2022-02-04,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,NETH,NETHERLANDS,FT,43,0
2021-12-17,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",SIX NATIONS B,NETH,NETHERLANDS,SPAIN,SPAIN,FT,7,52
2021-11-25,"METREVELI (YUG) STADIUM, SOCHI",INTERNATIONAL TEST MATCH,RUSS,RUSSIA,CHI,CHILE,FT,27,42
2021-11-20,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,ARG,ARGENTINA,FT,53,7
2021-11-20,"STADE DE FRANCE, SAINT-DENIS",AUTUMN NATIONS SERIES,FRA,FRANCE,NZL,NEW ZEALAND,FT,40,25
2021-11-19,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,SA,SOUTH AFRICA,FT,27,26
2021-11-19,"BT MURRAYFIELD, EDINBURGH",INTERNATIONAL TEST MATCH,SCOT,SCOTLAND,JPN,JAPAN,FT,29,20
2021-11-19,"PRINCIPALITY STADIUM, CARDIFF",INTERNATIONAL TEST MATCH,WALES,WALES,AUS,AUSTRALIA,FT,29,28
2021-11-19,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,TONGA,TONGA,FT,32,20
2021-11-19,"STADION POLONII, WARSAW",FIRA CHAMPIONSHIP D1,POL,POLAND,SWITZ,SWITZERLAND,FT,37,25
2021-11-19,"ESTADIO EL DELEITE, ARANJUEZ",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,FIJI,FIJI,FT,15,15
2021-11-19,"STADIO SERGIO LANFRANCHI, PARMA",INTERNATIONAL TEST MATCH,ITALY,ITALY,URUG,URUGUAY,FT,17,10
2021-11-19,"METREVELI (YUG) STADIUM, SOCHI",INTERNATIONAL TEST MATCH,RUSS,RUSSIA,CHI,CHILE,FT,29,30
2021-11-13,"PRINCIPALITY STADIUM, CARDIFF",INTERNATIONAL TEST MATCH,WALES,WALES,FIJI,FIJI,FT,38,23
2021-11-13,"MATMUT ATLANTIQUE, BORDEAUX",AUTUMN NATIONS SERIES,FRA,FRANCE,GEORG,GEORGIA,FT,41,15
2021-11-13,"UNIVERSITARIA COMPLUTENSE, MADRID",SIX NATIONS B,SPAIN,SPAIN,RUSS,RUSSIA,FT,49,12
2021-11-12,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,AUS,AUSTRALIA,FT,32,15
2021-11-12,"BT MURRAYFIELD, EDINBURGH",INTERNATIONAL TEST MATCH,SCOT,SCOTLAND,SA,SOUTH AFRICA,FT,15,30
2021-11-12,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,NZL,NEW ZEALAND,FT,29,20
2021-11-12,"STADION NARODOW, GDYNIA",FIRA CHAMPIONSHIP D1,POL,POLAND,GERM,GERMANY,FT,21,16
2021-11-12,"STADIO COMUNALE DI MONIGO, TREVISO",INTERNATIONAL TEST MATCH,ITALY,ITALY,ARG,ARGENTINA,FT,16,37
2021-11-12,"ARCUL DE TRIUMF, BUCHAREST",SIX NATIONS B,ROM,ROMANIA,NETH,NETHERLANDS,FT,56,15
2021-11-12,"STADE DU NELSON MANDELA, NEDER-OVER-HEEMBEEK",INTERNATIONAL TEST MATCH,BEL,BELGIUM,CAN,CANADA,FT,0,24
2021-11-12,"ESTADIO MUNICIPAL SERGIO CONCEICAO, COIMBRA",INTERNATIONAL TEST MATCH,PORT,PORTUGAL,JPN,JAPAN,FT,25,38
2021-11-06,"BT MURRAYFIELD, EDINBURGH",INTERNATIONAL TEST MATCH,SCOT,SCOTLAND,AUS,AUSTRALIA,FT,15,13
2021-11-06,"STADE DE FRANCE, SAINT-DENIS",INTERNATIONAL TEST MATCH,FRA,FRANCE,ARG,ARGENTINA,FT,29,20
2021-11-06,"PAYANINI RUGBY CENTER, VERONA,VR",INTERNATIONAL TEST MATCH,ROM,ROMANIA,URUG,URUGUAY,FT,29,14
2021-11-05,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,TONGA,TONGA,FT,69,3
2021-11-05,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,JPN,JAPAN,FT,60,5
2021-11-05,"PRINCIPALITY STADIUM, CARDIFF",INTERNATIONAL TEST MATCH,WALES,WALES,SA,SOUTH AFRICA,FT,18,23
2021-11-05,"STADIO OLIMPICO, ROME",INTERNATIONAL TEST MATCH,ITALY,ITALY,NZL,NEW ZEALAND,FT,9,47
2021-11-05,"UNIVERSITARIA COMPLUTENSE, MADRID",INTERNATIONAL TEST MATCH,SPAIN,SPAIN,FIJI,FIJI,FT,13,43
2021-11-05,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",SIX NATIONS B,NETH,NETHERLANDS,RUSS,RUSSIA,FT,8,35
2021-11-05,"ESTADIO NACIONAL DO JAMOR, LISBON",INTERNATIONAL TEST MATCH,PORT,PORTUGAL,CAN,CANADA,FT,20,17
2021-10-31,ALLEGIANT STADIUM,INTERNATIONAL TEST MATCH,USA,UNITED STATES OF AMERICA,IRE,IRELAND,CANCELED,0,0
2021-10-29,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,TONGA,TONGA,FT,60,14
2021-10-29,"PRINCIPALITY STADIUM, CARDIFF",INTERNATIONAL TEST MATCH,WALES,WALES,NZL,NEW ZEALAND,FT,16,54
2021-10-29,"CENTRINIAME STADIONE (SAVIVALDYBES), SIAULIAI",FIRA CHAMPIONSHIP D1,LITH,LITHUANIA,GERM,GERMANY,FT,16,46
2021-10-22,"SHOWA DENKO DOME (BIG EYE), OITA",INTERNATIONAL TEST MATCH,JPN,JAPAN,AUS,AUSTRALIA,FT,23,32
2021-10-22,"FEDEX FIELD, LANDOVER,MD",INTERNATIONAL TEST MATCH,USA,UNITED STATES OF AMERICA,NZL,NEW ZEALAND,FT,14,104
2021-10-22,"BISLETT STADION, OSLO",FIRA CHAMPIONSHIP D2,NOR,NORWAY,DEN,DENMARK,FT,0,47
2021-10-22,"BOLLSPELAREN, NORRKOPING",FIRA CHAMPIONSHIP D2,SWED,SWEDEN,LUX,LUXEMBOURG,FT,51,5
2021-10-08,"ESTADIO CHARRUA, MONTEVIDEO",RUGBY WORLD CUP QUALIFIER,URUG,URUGUAY,USA,UNITED STATES OF AMERICA,FT,34,15
2021-10-08,"UNIST (YOUTH) STADIUM, LVOV",FIRA CHAMPIONSHIP D1,UKR,UKRAINE,POL,POLAND,FT,24,27
